1.jpg 0 [133.73519897460938,65.8331527709961]
Fruit (1083).jpg 5 [43.09077835083008,75.94745635986328]
Fruit (1083).jpg 6 [88.24557495117188,57.97718048095703]
Fruit (1083).jpg 7 [129.1990966796875,85.80441284179688]
Fruit (10835).jpg 0 [171.89190673828125,151.3011736869812]
Fruit (10835).jpg 1 [58.46596908569336,142.40445709228516]
Fruit (10838).jpg 0 [167.37628173828125,62.5656852722168]
Fruit (10838).jpg 1 [136.7713623046875,105.29689025878906]
Fruit (10839).jpg 0 [156.5919189453125,114.74606895446777]
Fruit (10839).jpg 1 [153.69839477539062,58.98279571533203]
Fruit (1084).jpg 0 [172.93472290039062,138.3272123336792]
Fruit (1084).jpg 1 [50.57533645629883,66.41269302368164]
Fruit (1084).jpg 2 [120.57484436035156,132.9718780517578]
Fruit (1084).jpg 3 [146.5913543701172,65.38237380981445]
Fruit (1084).jpg 4 [96.3182373046875,32.4027099609375]
Fruit (1084).jpg 5 [151.0516815185547,106.59720039367676]
Fruit (1084).jpg 6 [105.09678649902344,86.51680374145508]
Fruit (1084).jpg 7 [66.4486083984375,105.92876625061035]
Fruit (10843).jpg 0 [97.26225280761719,155.0784935951233]
Fruit (10844).jpg 0 [167.37628173828125,62.5656852722168]
Fruit (10844).jpg 1 [136.7713623046875,105.29689025878906]
Fruit (10845).jpg 0 [156.5919189453125,114.74606895446777]
Fruit (10845).jpg 1 [153.69839477539062,58.98279571533203]
Fruit (10849).jpg 0 [97.26225280761719,155.0784935951233]
Fruit (1085).jpg 0 [119.53697967529297,77.26518630981445]
Fruit (1085).jpg 1 [140.79550170898438,129.5359125137329]
Fruit (1085).jpg 2 [75.56360626220703,117.26825141906738]
Fruit (1085).jpg 3 [186.40948486328125,74.4880485534668]
Fruit (10851).jpg 0 [129.0529327392578,129.72848510742188]
Fruit (10854).jpg 0 [208.0870361328125,58.125545501708984]
Fruit (10855).jpg 0 [128.95236206054688,97.93977928161621]
Fruit (10855).jpg 1 [157.6074981689453,51.23733901977539]
Fruit (10856).jpg 0 [196.54409790039062,56.4166145324707]
Fruit (10856).jpg 1 [118.72935485839844,80.51898193359375]
Fruit (10857).jpg 0 [152.57855224609375,70.05290222167969]
Fruit (10857).jpg 1 [198.28797912597656,104.28497314453125]
Fruit (10858).jpg 0 [144.51971435546875,92.44884490966797]
Fruit (10858).jpg 1 [169.34371948242188,149.5986270904541]
Fruit (1086).jpg 0 [170.49090576171875,49.39908981323242]
Fruit (1086).jpg 1 [41.18777847290039,70.48331069946289]
Fruit (1086).jpg 2 [217.7279052734375,138.22857189178467]
Fruit (1086).jpg 3 [66.81854248046875,120.94261741638184]
Fruit (1086).jpg 4 [112.72138977050781,115.72519302368164]
Fruit (1086).jpg 5 [183.77613830566406,102.31934356689453]
Fruit (1086).jpg 6 [136.84886169433594,150.84123992919922]
Fruit (1086).jpg 7 [244.75843811035156,88.11954498291016]
Fruit (10864).jpg 0 [155.25363159179688,53.90534973144531]
Fruit (1087).jpg 0 [170.49090576171875,49.39908981323242]
Fruit (1087).jpg 1 [41.18777847290039,70.48331069946289]
Fruit (1087).jpg 2 [217.7279052734375,138.22857189178467]
Fruit (1087).jpg 3 [66.81854248046875,120.94261741638184]
Fruit (1087).jpg 4 [112.72138977050781,115.72519302368164]
Fruit (1087).jpg 5 [183.77613830566406,102.31934356689453]
Fruit (1087).jpg 6 [136.84886169433594,150.84123992919922]
Fruit (1087).jpg 7 [244.75843811035156,88.11954498291016]
Fruit (10874).jpg 0 [181.23989868164062,40.063899993896484]
Fruit (10875).jpg 0 [153.74154663085938,27.69731903076172]
Fruit (10875).jpg 1 [127.46016693115234,71.08644485473633]
Fruit (10875).jpg 2 [179.64154052734375,72.57321166992188]
Fruit (10876).jpg 0 [40.3703498840332,140.40315437316895]
Fruit (10876).jpg 1 [213.76454162597656,112.32391929626465]
Fruit (10877).jpg 0 [98.70482635498047,146.66039848327637]
Fruit (1088).jpg 0 [170.49090576171875,49.39908981323242]
Fruit (1088).jpg 1 [41.18777847290039,70.48331069946289]
Fruit (1088).jpg 2 [217.7279052734375,138.22857189178467]
Fruit (1088).jpg 3 [66.81854248046875,120.94261741638184]
Fruit (1088).jpg 4 [112.72138977050781,115.72519302368164]
Fruit (1088).jpg 5 [183.77613830566406,102.31934356689453]
Fruit (1088).jpg 6 [136.84886169433594,150.84123992919922]
Fruit (1088).jpg 7 [244.75843811035156,88.11954498291016]
Fruit (10882).jpg 0 [123.23025512695312,72.5161247253418]
Fruit (10882).jpg 1 [80.41708374023438,104.6884822845459]
Fruit (10883).jpg 0 [139.14694213867188,81.61308288574219]
Fruit (10883).jpg 1 [112.59676361083984,149.68247509002686]
Fruit (1089).jpg 0 [83.08247375488281,120.66482734680176]
Fruit (1089).jpg 1 [39.42870330810547,89.98004150390625]
Fruit (1089).jpg 2 [136.34646606445312,105.98920249938965]
Fruit (1089).jpg 3 [126.15971374511719,152.26601696014404]
Fruit (1089).jpg 4 [167.844970703125,62.64335250854492]
Fruit (1089).jpg 5 [34.04505920410156,44.07498550415039]
Fruit (1089).jpg 6 [96.72530364990234,71.31023406982422]
Fruit (1089).jpg 7 [196.5594024658203,105.2304515838623]
Fruit (10898).jpg 0 [127.55175018310547,83.99358749389648]
Fruit (10898).jpg 1 [78.49261474609375,88.50460052490234]
Fruit (10898).jpg 2 [100.01067352294922,137.557635307312]
Fruit (109).jpg 0 [234.21131896972656,99.07881546020508]
Fruit (109).jpg 1 [126.27366638183594,105.31011772155762]
Fruit (109).jpg 2 [193.98324584960938,140.37844562530518]
Fruit (109).jpg 3 [113.93900299072266,53.634918212890625]
Fruit (109).jpg 4 [82.68981170654297,147.61183881759644]
Fruit (109).jpg 5 [234.96206665039062,48.37828063964844]
Fruit (109).jpg 6 [138.1880340576172,155.30688440799713]
Fruit (109).jpg 7 [179.687255859375,71.07536697387695]
Fruit (109).jpg 8 [70.73890686035156,111.53144454956055]
Fruit (109).jpg 9 [57.11749267578125,57.50416946411133]
Fruit (1090).jpg 0 [83.08247375488281,120.66482734680176]
Fruit (1090).jpg 1 [39.42870330810547,89.98004150390625]
Fruit (1090).jpg 2 [136.34646606445312,105.98920249938965]
Fruit (1090).jpg 3 [126.15971374511719,152.26601696014404]
Fruit (1090).jpg 4 [167.844970703125,62.64335250854492]
Fruit (1090).jpg 5 [34.04505920410156,44.07498550415039]
Fruit (1090).jpg 6 [96.72530364990234,71.31023406982422]
Fruit (1090).jpg 7 [196.5594024658203,105.2304515838623]
Fruit (10900).jpg 0 [189.75201416015625,148.65494537353516]
Fruit (10900).jpg 1 [98.28800964355469,63.5936279296875]
Fruit (10901).jpg 0 [155.01644897460938,85.09758758544922]
Fruit (10901).jpg 1 [188.07830810546875,38.394412994384766]
Fruit (10901).jpg 2 [212.23458862304688,101.8085823059082]
Fruit (10901).jpg 3 [238.50296020507812,58.98574447631836]
Fruit (10904).jpg 0 [48.95636749267578,135.4989995956421]
Fruit (10904).jpg 1 [125.76044464111328,129.47444915771484]
Fruit (10909).jpg 0 [75.99165344238281,114.87346458435059]
Fruit (1091).jpg 0 [65.6121826171875,56.05400085449219]
Fruit (1091).jpg 1 [104.02462768554688,150.6405897140503]
Fruit (1091).jpg 2 [180.32589721679688,114.6806697845459]
Fruit (1091).jpg 3 [172.5995330810547,159.23495614528656]
Fruit (1091).jpg 4 [130.3398895263672,119.64881896972656]
Fruit (1092).jpg 0 [167.82711791992188,46.8258056640625]
Fruit (1092).jpg 1 [195.5243682861328,105.14273643493652]
Fruit (1092).jpg 2 [98.84976196289062,43.15580749511719]
Fruit (1092).jpg 3 [45.03099060058594,58.6978645324707]
Fruit (1092).jpg 4 [140.9595947265625,131.69384860992432]
Fruit (1092).jpg 5 [25.734033584594727,158.79401206970215]
Fruit (10929).jpg 0 [207.46554565429688,43.606719970703125]
Fruit (10929).jpg 1 [97.420654296875,63.18132781982422]
Fruit (10929).jpg 2 [134.4447784423828,160.44166088104248]
Fruit (1093).jpg 0 [167.82711791992188,46.8258056640625]
Fruit (1093).jpg 1 [195.5243682861328,105.14273643493652]
Fruit (1093).jpg 2 [98.84976196289062,43.15580749511719]
Fruit (1093).jpg 3 [45.03099060058594,58.6978645324707]
Fruit (1093).jpg 4 [140.9595947265625,131.69384860992432]
Fruit (1093).jpg 5 [25.734033584594727,158.79401206970215]
Fruit (10930).jpg 0 [51.8134765625,75.65645599365234]
Fruit (10932).jpg 0 [194.41168212890625,157.77315866947174]
Fruit (10933).jpg 0 [194.41168212890625,157.77315866947174]
Fruit (10935).jpg 0 [106.45175170898438,137.484450340271]
Fruit (10939).jpg 0 [188.8803253173828,80.84518814086914]
Fruit (10939).jpg 1 [176.70773315429688,133.30205249786377]
Fruit (1094).jpg 0 [165.80709838867188,115.42971420288086]
Fruit (1094).jpg 1 [215.19325256347656,153.4907037615776]
Fruit (1094).jpg 2 [112.92510223388672,72.50106430053711]
Fruit (1094).jpg 3 [57.51835250854492,96.94025039672852]
Fruit (1094).jpg 4 [184.06808471679688,63.16668701171875]
Fruit (1094).jpg 5 [235.01344299316406,114.01985931396484]
Fruit (1094).jpg 6 [98.47064208984375,126.46847152709961]
Fruit (1095).jpg 0 [140.67193603515625,149.06927394866943]
Fruit (1095).jpg 1 [181.06680297851562,115.93161964416504]
Fruit (1095).jpg 2 [114.47691345214844,86.86217880249023]
Fruit (1095).jpg 3 [128.65109252929688,43.6724853515625]
Fruit (1095).jpg 4 [132.6359405517578,56.52230453491211]
Fruit (1095).jpg 5 [81.02454376220703,143.62073230743408]
Fruit (1095).jpg 6 [241.47389221191406,85.28424072265625]
Fruit (10950).jpg 0 [36.98163986206055,111.15327072143555]
Fruit (10950).jpg 1 [72.31718444824219,106.97612762451172]
Fruit (10950).jpg 2 [78.77030944824219,70.0929183959961]
Fruit (10951).jpg 0 [176.59750366210938,103.05320930480957]
Fruit (10951).jpg 1 [225.21957397460938,57.6286735534668]
Fruit (10951).jpg 2 [226.10980224609375,113.02792549133301]
Fruit (10951).jpg 3 [119.85516357421875,90.466552734375]
Fruit (10951).jpg 4 [169.37063598632812,55.57416534423828]
Fruit (10951).jpg 5 [188.5120391845703,146.33911895751953]
Fruit (10951).jpg 6 [140.50985717773438,139.75482654571533]
Fruit (10953).jpg 0 [161.45431518554688,55.49065017700195]
Fruit (10956).jpg 0 [161.45431518554688,55.49065017700195]
Fruit (1096).jpg 0 [165.80709838867188,115.42971420288086]
Fruit (1096).jpg 1 [215.19325256347656,153.4907037615776]
Fruit (1096).jpg 2 [112.92510223388672,72.50106430053711]
Fruit (1096).jpg 3 [57.51835250854492,96.94025039672852]
Fruit (1096).jpg 4 [184.06808471679688,63.16668701171875]
Fruit (1096).jpg 5 [235.01344299316406,114.01985931396484]
Fruit (1096).jpg 6 [98.47064208984375,126.46847152709961]
Fruit (10960).jpg 0 [139.39190673828125,69.65153884887695]
Fruit (10961).jpg 0 [213.31060791015625,79.25592422485352]
Fruit (10963).jpg 0 [116.49418640136719,152.58956003189087]
Fruit (10963).jpg 1 [126.6409912109375,106.43926239013672]
Fruit (1097).jpg 0 [140.67193603515625,149.06927394866943]
Fruit (1097).jpg 1 [181.06680297851562,115.93161964416504]
Fruit (1097).jpg 2 [114.47691345214844,86.86217880249023]
Fruit (1097).jpg 3 [128.65109252929688,43.6724853515625]
Fruit (1097).jpg 4 [132.6359405517578,56.52230453491211]
Fruit (1097).jpg 5 [81.02454376220703,143.62073230743408]
Fruit (1097).jpg 6 [241.47389221191406,85.28424072265625]
Fruit (10972).jpg 0 [39.39192199707031,143.8360686302185]
Fruit (10978).jpg 0 [133.0438995361328,69.0764389038086]
Fruit (10979).jpg 0 [89.70753479003906,119.7994270324707]
Fruit (10979).jpg 1 [91.88847351074219,159.83208537101746]
Fruit (10979).jpg 2 [56.17776107788086,74.0260124206543]
Fruit (10979).jpg 3 [138.183349609375,70.46778869628906]
Fruit (10979).jpg 4 [161.89300537109375,159.13989007472992]
Fruit (1098).jpg 0 [186.12677001953125,59.08788299560547]
Fruit (1098).jpg 1 [171.15798950195312,116.28827095031738]
Fruit (1098).jpg 2 [50.80542755126953,84.70574569702148]
Fruit (1098).jpg 3 [113.30865478515625,72.11783981323242]
Fruit (1098).jpg 4 [157.151123046875,163.00907307863235]
Fruit (1098).jpg 5 [103.52020263671875,125.58426284790039]
Fruit (10980).jpg 0 [145.20115661621094,67.74847412109375]
Fruit (10980).jpg 1 [107.53324127197266,29.05866241455078]
Fruit (10980).jpg 2 [93.69596862792969,66.1700439453125]
Fruit (10980).jpg 3 [56.22925567626953,57.07514953613281]
Fruit (10981).jpg 0 [184.4781494140625,113.41074180603027]
Fruit (10981).jpg 1 [192.01641845703125,39.19405746459961]
Fruit (10981).jpg 2 [39.98454666137695,100.34949493408203]
Fruit (10981).jpg 3 [120.50991821289062,125.44436836242676]
Fruit (10981).jpg 4 [106.63410949707031,63.316001892089844]
Fruit (10988).jpg 0 [177.0982666015625,64.04198837280273]
Fruit (10988).jpg 1 [158.831787109375,119.93550491333008]
Fruit (10989).jpg 0 [177.67005920410156,153.12816524505615]
Fruit (10989).jpg 1 [108.8116226196289,110.0887451171875]
Fruit (1099).jpg 0 [186.12677001953125,59.08788299560547]
Fruit (1099).jpg 1 [171.15798950195312,116.28827095031738]
Fruit (1099).jpg 2 [50.80542755126953,84.70574569702148]
Fruit (1099).jpg 3 [113.30865478515625,72.11783981323242]
Fruit (1099).jpg 4 [157.151123046875,163.00907307863235]
Fruit (1099).jpg 5 [103.52020263671875,125.58426284790039]
Fruit (10999).jpg 0 [110.3363265991211,83.16519546508789]
Fruit (10999).jpg 1 [34.15259552001953,159.69692113995552]
Fruit (10999).jpg 2 [160.59576416015625,115.77531242370605]
Fruit (10999).jpg 3 [101.59852600097656,140.55442237854004]
Fruit (11).jpg 0 [241.07052612304688,80.87324142456055]
Fruit (11).jpg 1 [24.729576110839844,100.60248565673828]
Fruit (11).jpg 2 [81.71076965332031,67.83056259155273]
Fruit (11).jpg 3 [49.499542236328125,165.6310943365097]
Fruit (11).jpg 4 [165.64352416992188,122.13106536865234]
Fruit (11).jpg 5 [134.67669677734375,80.82199096679688]
Fruit (110).jpg 0 [234.57131958007812,99.01417922973633]
Fruit (110).jpg 1 [126.17015075683594,105.4048023223877]
Fruit (110).jpg 2 [193.88876342773438,140.09601497650146]
Fruit (110).jpg 3 [138.13421630859375,154.98366856575012]
Fruit (110).jpg 4 [114.26250457763672,53.22285842895508]
Fruit (110).jpg 5 [234.96536254882812,46.85067367553711]
Fruit (110).jpg 6 [83.24609375,148.58922719955444]
Fruit (110).jpg 7 [179.5081329345703,71.37366485595703]
Fruit (110).jpg 8 [70.80032348632812,110.06097602844238]
Fruit (110).jpg 9 [57.4407958984375,57.6610221862793]
Fruit (1100).jpg 0 [241.6585693359375,77.91417694091797]
Fruit (1100).jpg 1 [190.3936767578125,79.49748420715332]
Fruit (1100).jpg 2 [26.237613677978516,97.39420700073242]
Fruit (1100).jpg 3 [133.3963623046875,80.93876266479492]
Fruit (1100).jpg 4 [76.9479751586914,65.72733688354492]
Fruit (1100).jpg 5 [134.03321838378906,93.06561279296875]
Fruit (1100).jpg 6 [191.19522094726562,58.26945114135742]
Fruit (1100).jpg 7 [46.54250717163086,164.46783995628357]
Fruit (1100).jpg 8 [114.3212661743164,129.1852674484253]
Fruit (11000).jpg 0 [125.02679443359375,101.04268264770508]
Fruit (11000).jpg 1 [154.08425903320312,156.1549253463745]
Fruit (11000).jpg 2 [176.39813232421875,102.15852928161621]
Fruit (11001).jpg 0 [60.233436584472656,94.05550956726074]
Fruit (11001).jpg 1 [31.516366958618164,149.4782907962799]
Fruit (11002).jpg 0 [81.36221313476562,61.307334899902344]
Fruit (11002).jpg 1 [170.97604370117188,71.45299530029297]
Fruit (11002).jpg 2 [47.15114212036133,100.66874313354492]
Fruit (11002).jpg 3 [123.25520324707031,79.86899185180664]
Fruit (11003).jpg 0 [154.406494140625,155.3309941291809]
Fruit (11006).jpg 0 [154.406494140625,155.3309941291809]
Fruit (11009).jpg 0 [44.96746063232422,153.89168000221252]
Fruit (1101).jpg 0 [31.898836135864258,68.94281387329102]
Fruit (1101).jpg 1 [61.651981353759766,117.25705909729004]
Fruit (1101).jpg 2 [149.0808868408203,48.33866500854492]
Fruit (1101).jpg 3 [121.3917465209961,92.35337829589844]
Fruit (1101).jpg 4 [76.63227081298828,163.65649390220642]
Fruit (1101).jpg 5 [117.63847351074219,114.42670440673828]
Fruit (11014).jpg 0 [163.45730590820312,49.33050537109375]
Fruit (11014).jpg 1 [80.94017791748047,100.81842231750488]
Fruit (11015).jpg 0 [179.1315460205078,120.63822555541992]
Fruit (11015).jpg 1 [163.39773559570312,59.44581604003906]
Fruit (11016).jpg 0 [148.5985107421875,93.0796012878418]
Fruit (11016).jpg 1 [190.55796813964844,43.77046203613281]
Fruit (11017).jpg 0 [153.4636688232422,57.65913391113281]
Fruit (11017).jpg 1 [131.97525024414062,106.6858024597168]
Fruit (11018).jpg 0 [124.49415588378906,33.57470703125]
Fruit (11018).jpg 1 [79.0655288696289,72.17035293579102]
Fruit (11018).jpg 2 [100.53120422363281,121.37064170837402]
Fruit (11018).jpg 3 [198.66201782226562,75.45228576660156]
Fruit (11018).jpg 4 [144.8022918701172,80.48246765136719]
Fruit (11018).jpg 5 [163.6729278564453,113.9433479309082]
Fruit (11018).jpg 6 [186.67425537109375,27.852813720703125]
Fruit (1102).jpg 0 [31.898836135864258,68.94281387329102]
Fruit (1102).jpg 1 [61.651981353759766,117.25705909729004]
Fruit (1102).jpg 2 [149.0808868408203,48.33866500854492]
Fruit (1102).jpg 3 [121.3917465209961,92.35337829589844]
Fruit (1102).jpg 4 [76.63227081298828,163.65649390220642]
Fruit (1102).jpg 5 [117.63847351074219,114.42670440673828]
Fruit (11026).jpg 0 [184.60276794433594,155.03400135040283]
Fruit (11027).jpg 0 [177.65472412109375,99.18484115600586]
Fruit (11028).jpg 0 [121.17337036132812,101.23828887939453]
Fruit (11028).jpg 1 [145.55780029296875,156.43799102306366]
Fruit (11028).jpg 2 [217.11404418945312,146.53097248077393]
Fruit (11028).jpg 3 [38.01100540161133,83.918701171875]
Fruit (11028).jpg 4 [170.35122680664062,71.91753005981445]
Fruit (11029).jpg 0 [167.5738067626953,111.49299812316895]
Fruit (11029).jpg 1 [97.9024887084961,60.5184440612793]
Fruit (11029).jpg 2 [136.033447265625,86.8548812866211]
Fruit (11029).jpg 3 [197.1042022705078,60.29731369018555]
Fruit (11029).jpg 4 [155.29180908203125,42.82174301147461]
Fruit (11029).jpg 5 [119.94303894042969,129.27465057373047]
Fruit (11029).jpg 6 [86.65037536621094,107.03617668151855]
Fruit (1103).jpg 0 [153.13076782226562,102.1844654083252]
Fruit (1103).jpg 1 [36.65632629394531,89.6842041015625]
Fruit (1103).jpg 2 [141.74221801757812,56.39570999145508]
Fruit (1103).jpg 3 [36.53864288330078,137.17516040802002]
Fruit (1103).jpg 4 [145.58628845214844,154.44297051429749]
Fruit (1103).jpg 5 [86.75322723388672,156.4291398525238]
Fruit (1103).jpg 6 [87.54672241210938,107.3599910736084]
Fruit (11030).jpg 0 [113.73175048828125,81.07534790039062]
Fruit (11031).jpg 0 [134.13352966308594,112.07970237731934]
Fruit (11032).jpg 0 [78.00985717773438,127.76988887786865]
Fruit (11033).jpg 0 [168.0060272216797,157.35073125362396]
Fruit (11033).jpg 1 [43.08209991455078,77.00126647949219]
Fruit (11034).jpg 0 [37.586090087890625,70.39918899536133]
Fruit (11034).jpg 1 [145.0988006591797,74.6673469543457]
Fruit (11036).jpg 0 [172.95538330078125,80.72343826293945]
Fruit (11036).jpg 1 [65.25699615478516,69.86069869995117]
Fruit (11036).jpg 2 [148.68020629882812,130.91696071624756]
Fruit (11038).jpg 0 [47.521095275878906,158.36481833457947]
Fruit (1104).jpg 0 [130.29962158203125,42.33525848388672]
Fruit (1104).jpg 1 [114.49559783935547,87.14877700805664]
Fruit (1104).jpg 2 [180.37652587890625,117.20135498046875]
Fruit (1104).jpg 3 [140.1365509033203,147.0345335006714]
Fruit (1104).jpg 4 [80.56378173828125,142.24280643463135]
Fruit (1104).jpg 5 [242.07296752929688,85.2218132019043]
Fruit (1105).jpg 0 [103.94107818603516,55.277591705322266]
Fruit (1105).jpg 1 [41.449371337890625,67.99734115600586]
Fruit (1105).jpg 2 [187.5705108642578,144.15059685707092]
Fruit (1105).jpg 3 [64.02774810791016,119.57364654541016]
Fruit (1105).jpg 4 [171.99603271484375,44.52405548095703]
Fruit (1105).jpg 5 [116.38369750976562,114.09008026123047]
Fruit (11053).jpg 0 [32.727848052978516,112.46567726135254]
Fruit (11053).jpg 1 [90.32003021240234,140.41582489013672]
Fruit (11053).jpg 2 [164.67465209960938,109.05127716064453]
Fruit (11053).jpg 3 [153.82595825195312,157.2906994819641]
Fruit (11053).jpg 4 [29.004207611083984,158.39386200904846]
Fruit (11054).jpg 0 [127.00181579589844,151.16522693634033]
Fruit (11054).jpg 1 [208.26312255859375,141.50611877441406]
Fruit (11054).jpg 2 [203.04837036132812,63.59836959838867]
Fruit (11055).jpg 0 [184.38990783691406,48.86505126953125]
Fruit (11055).jpg 1 [92.7817153930664,49.78483200073242]
Fruit (11055).jpg 2 [28.52794075012207,43.130859375]
Fruit (11056).jpg 0 [184.38990783691406,48.86505126953125]
Fruit (11056).jpg 1 [92.7817153930664,49.78483200073242]
Fruit (11056).jpg 2 [28.52794075012207,43.130859375]
Fruit (11057).jpg 0 [184.38990783691406,48.86505126953125]
Fruit (11057).jpg 1 [92.7817153930664,49.78483200073242]
Fruit (11057).jpg 2 [28.52794075012207,43.130859375]
Fruit (11058).jpg 0 [200.78646850585938,28.066085815429688]
Fruit (11058).jpg 1 [105.13758850097656,133.57261180877686]
Fruit (11058).jpg 2 [141.2189483642578,36.786067962646484]
Fruit (11059).jpg 0 [184.38990783691406,48.86505126953125]
Fruit (11059).jpg 1 [92.7817153930664,49.78483200073242]
Fruit (11059).jpg 2 [28.52794075012207,43.130859375]
Fruit (1106).jpg 0 [130.29962158203125,42.33525848388672]
Fruit (1106).jpg 1 [114.49559783935547,87.14877700805664]
Fruit (1106).jpg 2 [180.37652587890625,117.20135498046875]
Fruit (1106).jpg 3 [140.1365509033203,147.0345335006714]
Fruit (1106).jpg 4 [80.56378173828125,142.24280643463135]
Fruit (1106).jpg 5 [242.07296752929688,85.2218132019043]
Fruit (11062).jpg 0 [43.19764709472656,152.9623897075653]
Fruit (11068).jpg 0 [134.03042602539062,94.57468795776367]
Fruit (11068).jpg 1 [156.6197052001953,139.60144996643066]
Fruit (11069).jpg 0 [162.9744873046875,59.657649993896484]
Fruit (11069).jpg 1 [184.08680725097656,129.3232307434082]
Fruit (1107).jpg 0 [205.1671142578125,154.35127305984497]
Fruit (1107).jpg 1 [165.9952850341797,43.301513671875]
Fruit (1107).jpg 2 [67.53263854980469,63.55014419555664]
Fruit (1107).jpg 3 [190.58197021484375,94.22835159301758]
Fruit (1107).jpg 4 [147.76901245117188,129.96154403686523]
Fruit (1107).jpg 5 [135.65625,79.8484992980957]
Fruit (1107).jpg 6 [108.65850067138672,153.16380262374878]
Fruit (1107).jpg 7 [64.52764892578125,124.62079048156738]
Fruit (11070).jpg 0 [146.6800079345703,127.23806571960449]
Fruit (11070).jpg 1 [152.22506713867188,70.5966682434082]
Fruit (11071).jpg 0 [43.36774444580078,54.476566314697266]
Fruit (11071).jpg 1 [144.71347045898438,77.43927383422852]
Fruit (11071).jpg 2 [46.22056579589844,116.46820640563965]
Fruit (11072).jpg 0 [58.754669189453125,54.078426361083984]
Fruit (11072).jpg 1 [151.85470581054688,107.05730438232422]
Fruit (11072).jpg 2 [119.48082733154297,80.43268966674805]
Fruit (11072).jpg 3 [212.67823791503906,98.68952941894531]
Fruit (11072).jpg 4 [189.52537536621094,50.14912414550781]
Fruit (11078).jpg 0 [123.71479797363281,84.74063873291016]
Fruit (1108).jpg 0 [205.1671142578125,154.35127305984497]
Fruit (1108).jpg 1 [165.9952850341797,43.301513671875]
Fruit (1108).jpg 2 [67.53263854980469,63.55014419555664]
Fruit (1108).jpg 3 [190.58197021484375,94.22835159301758]
Fruit (1108).jpg 4 [147.76901245117188,129.96154403686523]
Fruit (1108).jpg 5 [135.65625,79.8484992980957]
Fruit (1108).jpg 6 [108.65850067138672,153.16380262374878]
Fruit (1108).jpg 7 [64.52764892578125,124.62079048156738]
Fruit (11080).jpg 0 [161.27523803710938,129.75480270385742]
Fruit (11080).jpg 1 [74.8294677734375,125.87406063079834]
Fruit (11080).jpg 2 [226.80747985839844,112.46258735656738]
Fruit (11080).jpg 3 [182.14955139160156,69.11660766601562]
Fruit (11080).jpg 4 [120.38594055175781,157.04192769527435]
Fruit (11081).jpg 0 [157.68881225585938,98.23617362976074]
Fruit (11081).jpg 1 [57.161407470703125,106.38838005065918]
Fruit (11081).jpg 2 [109.77159881591797,132.9558391571045]
Fruit (11081).jpg 3 [161.72601318359375,147.47058534622192]
Fruit (11081).jpg 4 [61.096351623535156,155.3930435180664]
Fruit (11082).jpg 0 [75.5105972290039,91.42488098144531]
Fruit (11082).jpg 1 [132.4078826904297,88.42852401733398]
Fruit (11082).jpg 2 [97.50083923339844,143.05942153930664]
Fruit (11083).jpg 0 [94.5499038696289,130.74646949768066]
Fruit (11083).jpg 1 [206.41201782226562,169.04542168974876]
Fruit (11084).jpg 0 [167.76205444335938,61.87465286254883]
Fruit (11084).jpg 1 [136.46429443359375,105.23874282836914]
Fruit (11086).jpg 0 [80.35304260253906,130.8168716430664]
Fruit (11087).jpg 0 [127.27944946289062,63.07770919799805]
Fruit (11087).jpg 1 [162.5548095703125,143.1142110824585]
Fruit (11087).jpg 2 [216.54180908203125,151.67805099487305]
Fruit (11088).jpg 0 [167.76205444335938,61.87465286254883]
Fruit (11088).jpg 1 [136.46429443359375,105.23874282836914]
Fruit (1109).jpg 0 [78.97142791748047,24.31481170654297]
Fruit (1109).jpg 1 [66.48084259033203,91.81057357788086]
Fruit (1109).jpg 2 [114.74179077148438,143.56610870361328]
Fruit (11090).jpg 0 [80.35304260253906,130.8168716430664]
Fruit (11091).jpg 0 [103.62501525878906,133.6366662979126]
Fruit (11093).jpg 0 [159.3199920654297,111.5756721496582]
Fruit (11095).jpg 0 [170.12057495117188,59.25953674316406]
Fruit (11095).jpg 1 [216.58084106445312,137.20740413665771]
Fruit (11096).jpg 0 [130.8407440185547,97.15302658081055]
Fruit (11096).jpg 1 [158.14971923828125,50.20405578613281]
Fruit (11097).jpg 0 [177.9881591796875,142.96270370483398]
Fruit (11097).jpg 1 [130.08580017089844,69.77043151855469]
Fruit (11098).jpg 0 [136.2931365966797,140.18849658966064]
Fruit (11098).jpg 1 [240.86424255371094,117.40913772583008]
Fruit (111).jpg 0 [234.21131896972656,99.07881546020508]
Fruit (111).jpg 1 [126.27366638183594,105.31011772155762]
Fruit (111).jpg 2 [193.98324584960938,140.37844562530518]
Fruit (111).jpg 3 [113.93900299072266,53.634918212890625]
Fruit (111).jpg 4 [82.68981170654297,147.61183881759644]
Fruit (111).jpg 5 [234.96206665039062,48.37828063964844]
Fruit (111).jpg 6 [138.1880340576172,155.30688440799713]
Fruit (111).jpg 7 [179.687255859375,71.07536697387695]
Fruit (111).jpg 8 [70.73890686035156,111.53144454956055]
Fruit (111).jpg 9 [57.11749267578125,57.50416946411133]
Fruit (1110).jpg 0 [188.04544067382812,145.09115386009216]
Fruit (1110).jpg 1 [102.54407501220703,55.03048324584961]
Fruit (1110).jpg 2 [41.16584014892578,67.58925247192383]
Fruit (1110).jpg 3 [64.94180297851562,120.0213394165039]
Fruit (1110).jpg 4 [171.92227172851562,43.56418228149414]
